'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0017s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0017s
'get_named_instances_children_of'; 0.0017s
'_get_children_by_filter'; 0.0016s
'get_datatype_elements_children_of'; 0.0016s
'get_datatypes_children_of'; 0.0016s
'__post_init__'; 0.0513s
'from_element'; 0.0513s
'nodes_ids'; 0.0117s
'prefixes_nodes'; 0.0460s
'prefixes'; 0.0462s
'__post_init__'; 0.0468s
'from_element'; 0.0468s
'nodes_ids'; 0.0145s
'prefixes_nodes'; 0.0506s
'prefixes'; 0.0509s
'__post_init__'; 0.0515s
'from_element'; 0.0515s
'ontologies'; 0.2807s
'nodes_ids'; 0.0101s
'nodes_ids'; 0.0024s
'get_ontology_contains_element_id'; 0.2933s
'get_relations'; 0.2934s
'relations_from_node'; 0.2934s
'relations_from'; 0.2934s
'to_turtle'; 0.2935s
'nodes_ids'; 0.0159s
'ontology_nodes'; 0.0494s
'nodes_ids'; 0.0132s
'prefixes_nodes'; 0.0470s
'prefixes'; 0.0472s
'_get_children_by_filter'; 0.0109s
'get_class_elements_children_of'; 0.0109s
'get_classes_children_of'; 0.0110s
'_get_children_by_filter'; 0.0128s
'get_named_instance_elements_children_of'; 0.0129s
'get_named_instances_children_of'; 0.0131s
'_get_children_by_filter'; 0.0112s
'get_datatype_elements_children_of'; 0.0112s
'get_datatypes_children_of'; 0.0112s
'__post_init__'; 0.0825s
'from_element'; 0.0825s
'nodes_ids'; 0.0119s
'prefixes_nodes'; 0.0465s
'prefixes'; 0.0467s
'_get_children_by_filter'; 0.0016s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0017s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0017s
'get_named_instances_children_of'; 0.0017s
'_get_children_by_filter'; 0.0020s
'get_datatype_elements_children_of'; 0.0020s
'get_datatypes_children_of'; 0.0020s
'__post_init__'; 0.0522s
'from_element'; 0.0522s
'nodes_ids'; 0.0124s
'prefixes_nodes'; 0.0443s
'prefixes'; 0.0446s
'__post_init__'; 0.0455s
'from_element'; 0.0455s
'nodes_ids'; 0.0130s
'prefixes_nodes'; 0.0437s
'prefixes'; 0.0440s
'__post_init__'; 0.0447s
'from_element'; 0.0447s
'ontologies'; 0.2743s
'nodes_ids'; 0.0097s
'nodes_ids'; 0.0016s
'get_ontology_contains_element_id'; 0.2856s
'get_relations'; 0.2858s
'relations_from_node'; 0.2858s
'relations_from'; 0.2858s
'to_turtle'; 0.2858s
'nodes_ids'; 0.0133s
'ontology_nodes'; 0.0512s
'nodes_ids'; 0.0183s
'prefixes_nodes'; 0.0591s
'prefixes'; 0.0594s
'_get_children_by_filter'; 0.0099s
'get_class_elements_children_of'; 0.0099s
'get_classes_children_of'; 0.0099s
'_get_children_by_filter'; 0.0098s
'get_named_instance_elements_children_of'; 0.0098s
'get_named_instances_children_of'; 0.0100s
'_get_children_by_filter'; 0.0108s
'get_datatype_elements_children_of'; 0.0108s
'get_datatypes_children_of'; 0.0109s
'__post_init__'; 0.0902s
'from_element'; 0.0902s
'nodes_ids'; 0.0127s
'prefixes_nodes'; 0.0444s
'prefixes'; 0.0446s
'_get_children_by_filter'; 0.0019s
'get_class_elements_children_of'; 0.0019s
'get_classes_children_of'; 0.0020s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0017s
'get_named_instances_children_of'; 0.0017s
'_get_children_by_filter'; 0.0016s
'get_datatype_elements_children_of'; 0.0016s
'get_datatypes_children_of'; 0.0016s
'__post_init__'; 0.0501s
'from_element'; 0.0501s
'nodes_ids'; 0.0116s
'prefixes_nodes'; 0.0433s
'prefixes'; 0.0435s
'__post_init__'; 0.0440s
'from_element'; 0.0440s
'nodes_ids'; 0.0117s
'prefixes_nodes'; 0.0462s
'prefixes'; 0.0465s
'__post_init__'; 0.0473s
'from_element'; 0.0473s
'ontologies'; 0.2828s
'nodes_ids'; 0.0108s
'nodes_ids'; 0.0015s
'get_ontology_contains_element_id'; 0.2954s
'get_relations'; 0.2955s
'relations_from_node'; 0.2955s
